INSERT INTO Library (UserID,GameID,Rating) VALUES
(34,2784,4),
(34,479,0),
(34,5875,1),
(34,5441,4),
(34,574,0),
(34,1536,5),
(34,4268,4),
(34,6390,0),
(34,3374,1),
(34,46,4),
(34,2158,0),
(34,2590,0),
(34,2994,0),
(34,3890,1),
(34,2658,1),
(34,221,0),
(34,1070,5),
(34,2057,2),

(35,2215,1),
(35,6549,5),
(35,2145,1),
(35,4371,5),
(35,1120,3),
(35,5271,0),
(35,452,4),
(35,5457,2),
(35,2239,5),
(35,2554,3),
(35,2486,4),
(35,859,3),
(35,4543,4),
(35,712,0),
(35,4855,3),

(36,3763,4),
(36,4004,4),
(36,6106,0),
(36,5915,1),
(36,640,0),
(36,5764,4),
(36,2556,1),
(36,5314,4),

(37,5028,2),
(37,4412,1),
(37,5784,2),
(37,441,5),
(37,4818,1),
(37,5001,4),
(37,388,4),
(37,6363,3),
(37,7,5),
(37,3248,1),
(37,116,3),
(37,6569,2),
(37,6917,4),
(37,1350,1),
(37,4134,5),
(37,3472,0),

(38,1358,3),
(38,3584,4),
(38,4918,5),
(38,4244,1),
(38,2563,0),
(38,1704,5),
(38,3912,0),
(38,3400,3),
(38,1026,3),
(38,2252,2),
(38,1851,5),
(38,2707,2),
(38,919,0),
(38,3478,3),
(38,6414,2),
(38,6080,5),
(38,836,3),
(38,891,2),
(38,5219,4),

(39,4013,3),
(39,5107,3),
(39,1124,2),
(39,5121,1),

(40,3862,5),
(40,299,0),
(40,2886,4),
(40,2389,3),
(40,2179,4),
(40,1459,3),
(40,3927,3),
(40,2912,4),
(40,5028,0),
(40,2189,4),
(40,5500,1),
(40,1400,5),
(40,5617,3),
(40,1307,1),
(40,3211,3),
(40,2324,5),
(40,4697,1),
(40,4001,1),
(40,6927,4),
(40,3104,2),
(40,6635,3),
(40,2118,2),

(41,1968,3),
(41,3239,2),
(41,4616,0),

(42,6042,2),
(42,3507,4),
(42,3777,2),
(42,3348,3),
(42,1734,2),

(43,1905,5),
(43,3928,3),
(43,1634,0),
(43,1038,5),
(43,4178,4),
(43,3362,4),
(43,4045,4),
(43,4337,4),
(43,1980,2),
(43,6638,1),
(43,137,2),
(43,3711,3),
(43,5621,2),
(43,496,1),
(43,1551,1),
(43,2571,2),
(43,6184,4),
(43,373,4),
(43,1892,0),
(43,679,2),
(43,1855,0),

(44,6043,2),
(44,6340,3),
(44,932,0),
(44,1774,0),
(44,4456,4),
(44,4447,2),
(44,520,4),
(44,4431,4),
(44,5316,2),
(44,5416,1),
(44,2241,1),
(44,4804,2),
(44,712,3),
(44,5970,5),
(44,1154,2),
(44,502,5),
(44,5002,0),
(44,331,0),
(44,2034,3),
(44,6077,0),
(44,4407,1),
(44,5021,0),
(44,2818,1),
(44,5239,3),

(45,6515,5),
(45,6743,4),
(45,4458,5),
(45,5219,1),
(45,1210,4),
(45,1937,0),
(45,4666,4),
(45,2264,4),
(45,1684,1),

(46,6524,2),
(46,2045,0),
(46,2533,4),
(46,2560,5),
(46,2885,3),
(46,5000,3),
(46,6348,4),
(46,4475,0),

(47,2124,5),
(47,2185,2),
(47,613,3),
(47,1961,2),
(47,566,0),

(48,6099,3),
(48,555,1),
(48,3118,0),

(49,3435,5),
(49,1955,3),
(49,5982,0),
(49,1630,3),
(49,4494,5),

(50,1404,5),
(50,4213,1),
(50,1692,0),
(50,1619,4),
(50,6373,2),
(50,3592,1),
(50,2352,0),
(50,205,2),
(50,2697,4),
(50,1768,2),
(50,2362,0),
(50,3240,0),
(50,3936,1),
(50,5691,5),
(50,6119,2),
(50,6701,3),
(50,5966,0),
(50,5022,0),
(50,6699,3),
(50,2844,1),
(50,6438,4),

(51,6923,4),
(51,61,0),
(51,1301,4),
(51,3866,4),
(51,4333,1),
(51,6314,0),
(51,3192,5),
(51,5213,0),
(51,3334,2),
(51,3308,0),
(51,4346,2),

(52,2091,1),
(52,1063,0),
(52,5534,1),
(52,6325,1),
(52,4911,3),
(52,5857,4),
(52,278,2),
(52,2877,1),
(52,5180,4),

(53,642,5),
(53,3156,5),
(53,6265,5),
(53,3173,3),
(53,4170,0),
(53,4536,0),
(53,3558,2),

(54,4199,4),
(54,932,5),

(55,501,2),
(55,3335,0),
(55,1738,5),
(55,4631,0),
(55,373,0),
(55,1743,2),
(55,5142,4),
(55,4873,3),
(55,438,5),
(55,6080,1),
(55,3166,0),
(55,3891,5),
(55,5899,4),
(55,5740,1),
(55,1424,3),
(55,3902,4),

(56,4215,2),
(56,3891,1),
(56,2211,0),
(56,3725,5),
(56,2234,0),
(56,4616,4),
(56,1775,0),
(56,2044,5),
(56,2159,3),
(56,2289,1),
(56,2270,2),
(56,6254,2),
(56,6798,1),
(56,973,4),
(56,1984,4),

(57,6462,4),
(57,2536,3),
(57,387,5),
(57,5580,3),
(57,4601,1),
(57,4790,1),
(57,5891,4),
(57,4085,5),
(57,6526,4),
(57,6489,3),

(58,413,0),
(58,4951,4),

(59,1944,0),
(59,2003,5),
(59,5941,5),
(59,2837,1),
(59,1660,5),
(59,4838,1),
(59,1641,0),
(59,523,2),
(59,1506,1),
(59,3169,3),
(59,6457,1),
(59,4540,3),
(59,4955,2),
(59,4350,4),
(59,807,4),
(59,5156,4),

(60,6362,0),
(60,6821,2),
(60,3783,1),
(60,2327,5),
(60,2078,3),
(60,3830,5),
(60,1172,3),
(60,245,0),

(61,2930,0),
(61,1034,1),
(61,1488,4),
(61,6158,2),
(61,6617,2),
(61,1528,4),
(61,2222,3),
(61,3396,0),
(61,5280,2),

(62,2910,4),
(62,2147,4),
(62,3051,2),
(62,750,5),
(62,990,4),
(62,5590,0),
(62,3111,2),
(62,4974,4),
(62,3916,2),
(62,6446,3),
(62,4582,3),
(62,168,1),
(62,4641,2),
(62,4274,5),
(62,407,2),
(62,3487,2),
(62,2075,1),

(63,4341,5),

(64,6321,1),
(64,882,0),
(64,4441,0),
(64,4332,5),
(64,4855,1),
(64,2083,5),
(64,5993,2),

(65,3515,1),
(65,2865,2),
(65,4189,2),
(65,5761,1),

(66,2,0),
(66,5061,2),
(66,6505,2),
(66,2927,4),
(66,5176,2),
(66,5549,4),
(66,3876,5),
(66,3239,4),
(66,2322,4),
(66,5619,5),
(66,3424,5),
(66,5936,4),
(66,1846,4),
(66,2627,0),
(66,1511,2),
(66,1168,2),

(67,4116,1),
(67,5935,3),

(68,3679,1),
(68,2417,3),
(68,3067,2),
(68,339,2),
(68,1239,4),
(68,5361,0),
(68,1572,5),

(69,382,2),
(69,688,5),
(69,715,0),
(69,929,5),
(69,1432,3),
(69,2947,0),
(69,3196,2),
(69,1257,2),
(69,5689,3),
(69,1334,2),
(69,6497,0),
(69,4814,0),
(69,71,0),
(69,570,0),
(69,1085,4),
(69,3461,0),
(69,5647,0),
(69,6060,1),
(69,391,0),
(69,3546,1),
(69,6223,5),
(69,6012,1),

(70,2237,3),
(70,2982,3),
(70,3211,1),
(70,4568,4),
(70,2143,0),
(70,2510,5),
(70,3682,5),
(70,3854,5),
(70,6439,1),
(70,3216,2),
(70,30,5),
(70,2298,5),
(70,1280,1),
(70,5900,4),
(70,4846,4),
(70,5640,4),
(70,1330,2),
(70,4067,3),

(71,4823,5),
(71,3037,0),
(71,5281,4),
(71,3267,3),
(71,5266,4),
(71,2297,2),

(72,1691,2),
(72,2976,3),
(72,5325,2),

(73,825,2),
(73,5158,3),
(73,3006,5),
(73,5414,0),
(73,34,0),
(73,1033,2),
(73,4869,4),
(73,6867,1),
(73,5348,2),
(73,2259,0),
(73,6927,4),
(73,5669,1),
(73,5385,4),
(73,19,3),
(73,2468,5),
(73,1256,0),
(73,2106,4),
(73,3559,4),
(73,5378,2),
(73,5169,3),
(73,2948,4),
(73,4880,1),
(73,3203,2),
(73,2090,0),
(73,3539,1),

(74,412,0),
(74,3483,4),
(74,1054,4),
(74,4906,3),
(74,5666,3),
(74,2544,1),
(74,3902,1),
(74,5796,1),
(74,225,3),
(74,1815,3),
(74,1598,0),
(74,4307,3),
(74,1818,4),
(74,2296,1),
(74,5985,2),
(74,5463,3),
(74,1198,3),
(74,1506,5),
(74,2938,3),
(74,5833,0),
(74,6849,4),
(74,6533,0),
(74,2242,0),
(74,1339,1),
(74,3139,1),

(75,3320,4),
(75,4355,0),
(75,4873,3),
(75,5060,5),
(75,1116,5),
(75,248,3),
(75,2470,5),
(75,3180,0),
(75,6820,0),
(75,4257,3),
(75,252,4),
(75,3604,5),
(75,1176,0),
(75,1273,3),
(75,6558,5),
(75,3840,1),
(75,1586,3),
(75,3499,3),
(75,5193,0),
(75,5460,2),
(75,952,3),
(75,738,2),
(75,5177,2),
(75,4017,5),

(76,582,2),
(76,410,4),
(76,4009,0),
(76,1827,4),

(77,306,0),
(77,6870,2),
(77,5709,0),
(77,5304,3),
(77,922,0),
(77,1325,4),
(77,3221,3),
(77,3784,4),
(77,4869,0),
(77,793,3),
(77,2753,3),
(77,2238,1),
(77,491,1),
(77,3616,3),
(77,0,2),
(77,34,3),
(77,5288,4),
(77,1033,3),
(77,4217,0),
(77,361,2),

(78,1247,4),
(78,4563,4),
(78,2296,1),
(78,4990,3),
(78,3322,1),
(78,3479,3),
(78,3491,4),
(78,4447,2),
(78,6507,1),

(79,6428,4),
(79,2427,3),
(79,2116,5),
(79,5857,3),
(79,2277,5),
(79,2946,3),
(79,6247,3),
(79,907,1),
(79,6581,3),
(79,2291,5),
(79,4971,0),
(79,1352,0),
(79,5768,0),
(79,6663,4),
(79,260,1),
(79,3326,1),
(79,699,2),
(79,2395,3),
(79,6542,0),
(79,1762,2),

(80,238,1),
(80,3041,2),
(80,3565,3),
(80,2274,5),
(80,1716,2),
(80,2674,4),
(80,2431,5),
(80,3138,1),
(80,267,2),
(80,1837,5),
(80,1620,3),
(80,1423,0),
(80,5410,2),
(80,243,2),
(80,1893,1),
(80,1839,4),
(80,3790,5),

(81,2065,5),

(82,4074,5),
(82,2907,0),
(82,1058,2),
(82,6380,3),

(83,5505,0),
(83,1469,2),
(83,6178,1),
(83,2489,5),
(83,1059,3),
(83,2169,3),
(83,926,3),
(83,5187,3),
(83,3637,5),
(83,4719,2),
(83,519,4),
(83,4911,4),

(84,1247,3),
(84,6578,0),
(84,4584,5),
(84,6542,1),
(84,4882,4),
(84,592,4),
(84,1697,1),
(84,4447,1),

(85,4331,2),
(85,1068,4),
(85,6505,2),

(86,2271,2),
(86,6266,1),
(86,4387,5),
(86,2035,1),
(86,2660,5),
(86,1628,3),
(86,5780,0),
(86,2306,0),
(86,5091,5),
(86,5387,1),
(86,3184,5),
(86,3004,4),
(86,5873,3),
(86,998,4),
(86,1746,0),
(86,2753,0),
(86,55,0),

(87,3203,2),
(87,2121,4),
(87,1843,4),
(87,2366,5),
(87,1573,2),
(87,1718,5),
(87,5878,0),
(87,4364,2),
(87,3113,3),
(87,6736,0),
(87,5783,0),
(87,5571,1),
(87,5162,1),
(87,6047,4),
(87,352,2),
(87,6840,5),

(88,1267,2),
(88,5184,3),
(88,956,5),
(88,5146,3),
(88,2697,4),
(88,6383,5),

(89,4491,3),
(89,1364,4),
(89,831,2),
(89,3447,4),
(89,2617,2),
(89,3546,1),
(89,4641,1),
(89,6830,5),
(89,1075,0),
(89,2945,5),
(89,1465,2),
(89,541,5),
(89,3972,1),
(89,1475,0),

(90,5175,2),
(90,2516,1),
(90,5020,3),
(90,3525,5),
(90,1306,2),
(90,3914,5),

(91,3993,2),
(91,2899,0),
(91,3806,4),
(91,1768,2),
(91,921,3),
(91,6461,2),
(91,4641,3),
(91,422,3),
(91,4694,2),
(91,6773,0),
(91,912,0),
(91,534,3),
(91,5134,0),

(92,6855,0),
(92,2463,1),
(92,908,0),
(92,4500,2),
(92,6719,3),
(92,2347,5),
(92,2455,1),
(92,4163,5),
(92,6200,2),
(92,2669,5),
(92,2002,3),
(92,1563,5),
(92,457,2),
(92,1479,3),

(93,2240,5),
(93,4096,2),
(93,3951,2),
(93,5459,1),
(93,3700,0),
(93,556,0),
(93,305,3),
(93,3013,1),
(93,1897,0),
(93,1516,1),
(93,4557,3),
(93,5904,5),

(94,2432,4),
(94,4807,2),
(94,1505,4),
(94,171,2),
(94,695,2),
(94,381,5),
(94,538,5),
(94,3929,5),
(94,3721,4),

(95,5977,2),
(95,6296,4),
(95,5794,1),
(95,2591,4),
(95,746,4),
(95,5881,5),

(96,1763,5),
(96,3734,0),
(96,3238,3),
(96,4080,2),
(96,6691,2),
(96,1411,3),
(96,4117,3),
(96,789,3),
(96,3738,3),
(96,6538,5),
(96,353,4),
(96,3029,0),
(96,4327,0),
(96,181,2),
(96,6508,4),
(96,1836,2),
(96,3014,3),
(96,553,5),

(97,4230,1),
(97,971,1),
(97,2238,1),
(97,2713,5),
(97,5706,1),
(97,6231,1),
(97,2390,4),
(97,4720,2),
(97,6160,0),
(97,6743,1),
(97,4585,4),
(97,2006,2),
(97,3502,0),
(97,951,4),
(97,3591,1),
(97,1544,0),
(97,4376,2),
(97,77,3),
(97,5026,2),
(97,6308,3),

(98,5743,3),
(98,714,0),
(98,2572,4),
(98,1925,0),
(98,6009,2),
(98,3533,1),
(98,4069,5),
(98,2396,2),
(98,1365,2),
(98,252,5),
(98,909,4),
(98,4770,3),
(98,1452,2),
(98,6760,5),
(98,3922,4),

(99,2217,5),
(99,1993,3),
(99,137,0),
(99,2056,2),
(99,2030,2),
(99,3641,0),
(99,53,1),
(99,2378,0),
(99,5501,1),
(99,3704,2),
(99,3485,5),
(99,3691,4),
(99,1705,2),
(99,249,4),
(99,4365,5),
(99,2989,4),
(99,5569,2),
(99,6609,0),
(99,3150,1),
(99,3418,0),
(99,1726,5),
(99,5704,4),

(100,5068,0),
(100,2551,0),
(100,592,4),
(100,3992,5),
(100,419,3),
(100,5837,3),
(100,6098,5),
(100,5965,5),
(100,1080,4),
(100,5048,2),
(100,5916,2),
(100,5715,3),
(100,858,1),

(101,457,5),
(101,1534,1),
(101,919,0),
(101,5032,3),
(101,585,2),
(101,634,2),
(101,1811,1),
(101,1998,4),
(101,2904,2),
(101,4889,3),
(101,4754,2),
(101,3393,2),
(101,2753,0),
(101,1821,0),
(101,227,2),
(101,3540,2),
(101,1204,2),
(101,524,0),
(101,3580,3),
(101,3065,4),
(101,4375,1),
(101,1830,1),
(101,6234,3),
(101,2258,3),

(102,2364,4),
(102,3110,5),
(102,3873,4),
(102,6564,0),
(102,293,4),
(102,5,1),
(102,192,4),
(102,3208,3),
(102,207,1);
